"","T1-C-1","T1-C-2","T1-C-3","T1-C-4","T1-C-5","T1-C-6","T1-C-7","T1-C-8","T1-C-9","T1-C-10","T1-C-11","T1-C-12","T2-C-1","T2-C-2","T2-C-3","T2-C-4","T2-C-5","T2-C-6","T2-C-7","T2-C-8","T3-C-1","T3-C-2","T3-C-3","T3-C-4","T3-C-5","T3-C-6","T3-C-7","T3-C-8","T3-C-9","T3-C-10","T3-C-11","T3-C-12","T3-C-13","T3-C-14","T4-C-1","T4-C-2","T4-C-3","T4-C-4","T4-C-5","T4-C-6","T4-C-7","T4-C-8","T4-C-9","T4-C-10","T4-C-11","T4-C-12","T4-C-13","T4-C-14","T4-C-15","T4-C-16","T4-C-17","T4-C-18","T4-C-19","T4-C-20","T5-C-1","T5-C-2","T5-C-3","T5-C-4","T5-C-5","T5-C-6","T5-C-7","T6-C-1","T6-C-2","T7-C-1","T7-C-2","T7-C-3","T7-C-4","T7-C-5","T7-C-6","T7-C-7","T7-C-8","T7-C-9","T7-C-10","T7-C-11","T7-C-12","T7-C-13","T7-C-14","T8-C-1","T8-C-2","T8-C-3","T9-C-1","T9-C-2","T10-C-1","T11-C-1","T11-C-2","T12-C-1","T12-C-2","T13-C-1","T13-C-2","T13-C-3","T13-C-4","T13-C-5","T13-C-6","T13-C-7","T13-C-8","T13-C-9","T13-C-10","T13-C-11","T13-C-12","T13-C-13","T13-C-14","T13-C-15","T14-C-1","T14-C-2","T15-C-1","T15-C-2","T16-C-1","T16-C-2","T16-C-3","T16-C-4","T16-C-5","T16-C-6","T16-C-7","T17-C-1","T17-C-2","T17-C-3","T18-C-1","T18-C-2","T18-C-3","T18-C-4","T19-C-1","T19-C-2","T20-C-1","T20-C-2","T21-C-1","T21-C-2","T21-C-3","T21-C-4","T22-C-1","T22-C-2","T22-C-3","T22-C-4","T23-C-1","T24-C-1","T24-C-2","T25-C-1","T25-C-2","T25-C-3","T26-C-1","T26-C-2","T26-C-3","T26-C-4","T27-C-1","T27-C-2","T27-C-3","T27-C-4","T27-C-5","T27-C-6","T27-C-7","T28-C-1","T28-C-2","T28-C-3","T29-C-1","T29-C-2","T29-C-3","T29-C-4","T29-C-5","T29-C-6","T30-C-1","T30-C-2","T30-C-3","T30-C-4","T31-C-1","T31-C-2","T31-C-3","T31-C-4","T31-C-5","T31-C-6","T31-C-7","T31-C-8","T31-C-9","T31-C-10","T31-C-11","T31-C-12","T31-C-13","T31-C-14","T32-C-1","T32-C-2","T32-C-3","T32-C-4","T32-C-5","T32-C-6","T32-C-7","T32-C-8","T32-C-9","T32-C-10","T32-C-11","T32-C-12","T32-C-13","T32-C-14","T32-C-15","T32-C-16","T32-C-17","T32-C-18","T32-C-19","T32-C-20","T32-C-21","T33-C-1","T33-C-2","T34-C-1","T34-C-2","T34-C-3","T34-C-4","T34-C-5","T34-C-6","T35-C-1","T35-C-2","T35-C-3","T36-C-1","T36-C-2","T36-C-3","T37-C-1","T37-C-2","T37-C-3","T38-C-1","T39-C-1","T39-C-2","T39-C-3","T39-C-4","T40-C-1","T41-C-1","T42-C-1","T43-C-1","T44-C-1","T45-C-1","T45-C-2","T45-C-3","V1-C-1","V1-C-2","V1-C-3","V1-C-4","V1-C-5","V1-C-6","V1-C-7","V1-C-8","V1-C-9","V2-C-1","V2-C-2","V2-C-3","V3-C-1","V3-C-2","V4-C-1","V4-C-2","V4-C-3","V4-C-4","V4-C-5","V5-C-1","V5-C-2","V6-C-1","V6-C-2","V6-C-3","V6-C-4","V6-C-5","V6-C-6","V6-C-7","V6-C-8","V6-C-9","V7-C-1","V7-C-2","V8-C-1","V8-C-2","V8-C-3","V9-C-1","V9-C-2","V9-C-3","V10-C-1","V10-C-2","V10-C-3","V11-C-1","V11-C-2","V12-C-1","V12-C-2","V12-C-3","V13-C-1","V13-C-2","V13-C-3","V13-C-4","L4-C-1","L4-C-2","L4-C-3","L"
"T1-C-11",2,2,2,2,3,3,5,5,2,4,0,2,2,2,3,3,4,4,5,5,2,2,2,3,3,3,4,4,4,5,5,5,3,5,4,5,6,7,4,5,6,7,4,5,6,7,4,5,6,7,5,7,7,7,2,4,3,6,1,2,4,3,4,4,3,4,5,6,5,6,6,7,8,8,4,5,6,4,3,3,6,8,3,5,4,6,4,1,1,1,2,2,2,4,4,4,1,1,2,2,4,4,3,6,3,5,3,4,5,6,4,5,5,1,1,1,1,3,3,2,5,6,3,5,7,5,3,3,4,4,5,5,4,5,5,3,3,3,2,2,2,2,1,1,3,3,2,2,4,2,4,5,3,3,3,3,3,3,5,5,5,6,4,4,4,5,5,5,6,6,6,7,7,7,5,7,4,4,5,5,6,5,7,7,6,6,4,4,5,5,6,6,7,7,6,6,6,7,6,4,4,5,5,6,7,6,6,6,6,6,6,6,6,6,6,4,4,4,4,7,8,7,8,7,8,8,8,4,4,5,6,4,4,5,6,7,6,8,9,5,5,5,7,8,7,8,6,7,7,9,8,10,9,11,8,10,10,6,7,7,9,9,6,7,8,7,9,8,8,10,8,10,8,8,8,8,8,4,5,7,2
"T1-C-12",5,5,4,4,3,3,2,2,4,2,2,0,5,5,3,3,2,2,3,3,5,5,5,3,3,3,2,2,2,3,3,3,3,2,7,5,4,5,7,5,4,5,7,5,4,5,7,5,4,5,5,4,4,4,2,2,4,3,3,1,1,4,2,6,5,4,6,7,3,4,4,5,5,7,4,3,4,4,3,3,7,5,3,5,4,6,4,3,3,3,1,1,1,1,1,1,3,3,1,1,1,1,5,3,4,3,5,4,3,3,4,3,4,1,1,1,2,1,1,1,6,4,4,3,7,5,3,3,5,5,3,3,4,5,5,3,3,3,5,5,5,5,3,3,1,1,2,4,2,5,3,3,3,3,3,3,3,3,5,5,5,6,7,7,7,5,5,5,4,4,4,5,5,5,5,4,6,6,5,5,4,5,4,4,4,4,6,6,5,5,4,4,4,4,4,4,4,7,6,7,7,5,5,4,5,6,6,6,6,6,6,6,6,6,6,4,4,4,4,7,8,7,8,7,8,8,8,6,5,4,4,6,5,4,4,5,8,7,7,5,5,6,6,6,6,6,6,7,7,7,8,8,9,9,8,8,8,6,5,8,7,7,8,6,6,8,7,7,10,8,10,8,10,8,8,8,8,6,4,4,2
"T2-C-1",2,2,3,3,4,4,5,5,2,5,2,5,0,1,1,2,2,3,3,4,2,1,1,3,2,3,4,3,4,5,4,5,3,5,3,5,6,7,2,4,5,6,2,3,4,5,3,4,5,6,5,6,5,5,5,7,6,8,3,5,6,6,7,2,2,3,3,4,4,5,5,6,6,6,3,4,5,3,2,2,5,6,2,3,2,5,3,3,3,3,5,5,5,6,6,6,3,3,5,5,6,6,2,4,2,4,1,2,3,4,2,4,4,3,3,3,4,6,6,5,3,5,2,4,6,4,2,2,2,2,4,4,2,3,3,1,1,1,4,4,4,4,4,4,6,6,5,4,6,5,6,8,1,1,1,1,1,1,3,3,3,4,3,2,3,4,3,4,5,4,5,6,5,6,4,6,4,4,5,5,6,5,7,7,7,7,3,3,4,4,5,5,6,6,7,6,6,5,4,3,2,4,3,4,5,4,4,4,4,4,4,4,4,4,4,6,6,6,6,5,6,5,6,5,6,6,6,2,3,4,5,2,3,4,5,6,4,5,7,3,3,4,5,7,5,7,5,6,6,8,7,9,8,10,7,9,9,5,6,6,8,8,5,6,7,6,8,7,6,9,6,8,6,6,6,6,6,6,8,9,4
"T2-C-2",2,2,3,3,4,4,5,5,2,5,2,5,1,0,2,1,3,2,4,3,3,2,1,4,3,2,5,4,3,6,5,4,4,6,5,6,7,8,4,5,6,7,3,4,5,6,2,3,4,5,6,7,6,5,5,7,6,8,3,5,6,6,7,2,2,3,3,4,4,5,5,6,6,6,3,4,5,3,2,2,5,6,2,3,2,5,3,3,3,3,5,5,5,6,6,6,3,3,5,5,6,6,2,4,2,4,1,2,3,4,2,4,4,3,3,3,4,6,6,5,3,5,2,4,6,4,2,2,2,2,4,4,2,3,3,1,1,1,4,4,4,4,4,4,6,6,5,4,6,5,6,8,1,1,1,1,1,1,3,3,3,4,4,3,2,5,4,3,6,5,4,7,6,5,5,7,5,5,6,6,7,6,8,8,8,8,4,4,5,5,6,6,7,7,9,7,7,5,4,4,2,5,4,5,6,4,4,4,4,4,4,4,4,4,4,6,6,6,6,5,6,5,6,5,6,6,6,2,3,4,5,2,3,4,5,6,4,5,7,3,3,4,5,7,5,7,5,6,6,8,7,9,8,10,7,9,9,5,6,6,8,8,5,6,7,6,8,7,6,9,6,8,6,6,6,6,6,6,8,9,4
"T2-C-3",4,4,3,3,3,3,4,4,3,3,3,3,1,2,0,1,1,2,2,3,3,2,3,2,1,1,3,2,2,4,3,3,2,3,5,3,4,5,4,2,3,4,3,2,3,4,4,3,4,5,3,5,4,3,4,6,5,7,4,4,5,6,6,3,3,2,3,4,3,4,4,5,5,5,2,3,4,4,3,3,4,5,2,3,2,5,3,4,4,4,4,4,4,5,5,5,4,4,4,4,5,5,2,3,1,2,2,1,2,3,1,3,3,3,3,3,4,4,4,3,3,4,1,2,6,4,2,2,2,2,3,3,2,3,3,1,1,1,4,4,4,4,4,4,5,5,3,4,5,6,5,7,1,1,1,1,1,1,3,3,3,4,4,3,4,3,2,3,4,3,4,5,4,5,3,4,5,5,4,4,5,4,6,6,5,5,4,4,3,3,4,4,5,5,6,5,5,5,4,4,3,3,2,3,4,4,4,4,4,4,4,4,4,4,4,6,6,6,6,5,6,5,6,5,6,6,6,4,3,3,4,4,3,3,4,5,5,4,5,3,3,4,4,5,4,5,5,6,5,6,6,7,7,8,6,7,7,4,5,5,6,6,5,5,6,5,6,6,7,7,7,7,7,6,6,6,6,7,7,8,4
"T2-C-4",4,4,3,3,3,3,4,4,3,3,3,3,2,1,1,0,2,1,3,2,4,3,2,3,2,1,4,3,2,5,4,3,3,5,6,5,6,7,5,4,5,6,4,3,4,5,3,2,3,4,5,6,5,4,4,6,5,7,4,4,5,6,6,3,3,2,3,4,3,4,4,5,5,5,2,3,4,4,3,3,4,5,2,3,2,5,3,4,4,4,4,4,4,5,5,5,4,4,4,4,5,5,2,3,1,2,2,1,2,3,1,3,3,3,3,3,4,4,4,3,3,4,1,2,6,4,2,2,2,2,3,3,2,3,3,1,1,1,4,4,4,4,4,4,5,5,3,4,5,6,5,7,1,1,1,1,1,1,3,3,3,4,5,4,3,4,3,2,5,4,3,6,5,4,4,6,6,6,5,5,6,5,7,7,7,7,5,5,4,4,5,5,6,6,7,6,6,5,4,5,4,4,2,3,4,4,4,4,4,4,4,4,4,4,4,6,6,6,6,5,6,5,6,5,6,6,6,4,3,3,4,4,3,3,4,5,5,4,5,3,3,4,4,5,4,5,5,6,5,6,6,7,7,8,6,7,7,4,5,5,6,6,5,5,6,5,6,6,7,7,7,7,7,6,6,6,6,7,7,8,4
"T2-C-5",5,5,4,4,3,3,3,3,4,2,4,2,2,3,1,2,0,1,1,2,4,3,4,3,2,2,2,1,1,3,2,2,3,2,6,4,3,4,5,3,2,3,4,3,2,3,5,4,3,4,4,4,3,2,5,5,6,6,5,4,4,7,5,4,4,3,4,5,2,3,3,4,4,5,3,2,3,5,4,4,5,4,2,3,2,5,3,5,5,5,4,4,4,4,4,4,5,5,4,4,4,4,3,2,2,1,3,2,1,2,2,2,3,3,3,3,5,3,3,4,4,3,2,1,6,4,2,2,3,3,2,2,2,3,3,1,1,1,4,4,4,4,5,5,4,4,4,5,4,7,5,6,1,1,1,1,1,1,3,3,3,4,5,4,5,4,3,4,3,2,3,4,3,4,4,3,6,6,5,5,4,5,5,5,4,4,5,5,4,4,3,3,4,4,5,4,4,5,4,5,4,4,3,2,3,4,4,4,4,4,4,4,4,4,4,6,6,6,6,5,6,5,6,5,6,6,6,5,4,3,3,5,4,3,3,4,6,4,4,3,3,5,4,4,4,4,5,6,6,5,7,6,8,7,7,6,7,5,4,6,5,5,6,5,5,6,5,6,8,6,8,6,8,6,6,6,6,8,6,7,4
"T2-C-6",5,5,4,4,3,3,3,3,4,2,4,2,3,2,2,1,1,0,2,1,5,4,3,4,3,2,3,2,1,4,3,2,4,4,7,6,5,6,6,5,4,5,5,4,3,4,4,3,2,3,6,5,4,3,5,5,6,6,5,4,4,7,5,4,4,3,4,5,2,3,3,4,4,5,3,2,3,5,4,4,5,4,2,3,2,5,3,5,5,5,4,4,4,4,4,4,5,5,4,4,4,4,3,2,2,1,3,2,1,2,2,2,3,3,3,3,5,3,3,4,4,3,2,1,6,4,2,2,3,3,2,2,2,3,3,1,1,1,4,4,4,4,5,5,4,4,4,5,4,7,5,6,1,1,1,1,1,1,3,3,3,4,6,5,4,5,4,3,4,3,2,5,4,3,5,5,7,7,6,6,5,6,6,6,6,6,6,6,5,5,4,4,5,5,6,5,5,5,4,6,5,5,3,2,3,4,4,4,4,4,4,4,4,4,4,6,6,6,6,5,6,5,6,5,6,6,6,5,4,3,3,5,4,3,3,4,6,4,4,3,3,5,4,4,4,4,5,6,6,5,7,6,8,7,7,6,7,5,4,6,5,5,6,5,5,6,5,6,8,6,8,6,8,6,6,6,6,8,6,7,4
"T2-C-7",6,6,5,5,4,4,2,2,5,3,5,3,3,4,2,3,1,2,0,1,5,4,5,4,3,3,3,2,2,2,1,1,4,2,7,5,4,3,6,4,3,2,5,4,3,2,6,5,4,3,5,4,3,2,6,4,7,5,6,5,3,8,5,5,5,4,5,6,3,4,2,3,4,6,4,3,2,6,5,5,6,4,2,3,2,5,3,6,6,6,5,5,5,3,3,3,6,6,5,5,3,3,4,2,3,2,4,3,2,1,3,2,4,3,3,3,6,4,4,5,5,3,3,2,6,4,2,2,4,4,2,2,2,3,3,1,1,1,4,4,4,4,6,6,4,4,5,6,4,8,6,5,1,1,1,1,1,1,3,3,3,4,6,5,6,5,4,5,4,3,4,3,2,3,5,3,7,7,6,6,5,6,4,4,4,4,6,6,5,5,4,4,3,3,5,5,5,5,4,6,5,5,4,3,2,4,4,4,4,4,4,4,4,4,4,6,6,6,6,5,6,5,6,5,6,6,6,6,5,4,2,6,5,4,2,4,7,5,4,3,3,6,5,4,5,4,5,6,7,5,8,6,9,7,8,6,8,6,4,7,6,6,7,6,4,7,6,7,9,7,9,7,9,6,6,6,6,9,7,6,4
"T2-C-8",6,6,5,5,4,4,2,2,5,3,5,3,4,3,3,2,2,1,1,0,6,5,4,5,4,3,4,3,2,3,2,1,5,4,8,7,6,5,7,6,5,4,6,5,4,3,5,4,3,2,7,5,4,3,6,4,7,5,6,5,3,8,5,5,5,4,5,6,3,4,2,3,4,6,4,3,2,6,5,5,6,4,2,3,2,5,3,6,6,6,5,5,5,3,3,3,6,6,5,5,3,3,4,2,3,2,4,3,2,1,3,2,4,3,3,3,6,4,4,5,5,3,3,2,6,4,2,2,4,4,2,2,2,3,3,1,1,1,4,4,4,4,6,6,4,4,5,6,4,8,6,5,1,1,1,1,1,1,3,3,3,4,7,6,5,6,5,4,5,4,3,4,3,2,6,5,8,8,7,7,6,7,5,5,6,6,7,7,6,6,5,5,4,4,6,6,6,5,4,7,6,6,4,3,2,4,4,4,4,4,4,4,4,4,4,6,6,6,6,5,6,5,6,5,6,6,6,6,5,4,2,6,5,4,2,4,7,5,4,3,3,6,5,4,5,4,5,6,7,5,8,6,9,7,8,6,8,6,4,7,6,6,7,6,4,7,6,7,9,7,9,7,9,6,6,6,6,9,7,6,4
"T3-C-1",2,2,3,3,4,4,5,5,2,5,2,5,2,3,3,4,4,5,5,6,0,1,2,1,2,3,2,3,4,3,4,5,2,3,3,4,5,6,3,4,5,6,4,5,6,7,5,6,7,8,4,6,6,7,5,7,6,8,3,5,6,6,7,1,1,2,2,3,3,4,4,5,5,5,2,3,4,3,2,4,4,5,1,3,2,5,3,3,3,3,5,5,5,6,6,6,3,3,5,5,6,6,1,3,2,4,2,4,5,6,4,5,5,3,3,3,4,6,6,5,2,4,2,4,6,4,2,2,1,1,3,3,2,3,3,1,1,1,3,3,3,3,4,4,6,6,5,4,6,4,5,7,1,1,1,1,1,1,5,5,5,6,3,4,5,4,5,6,5,6,7,6,7,8,4,5,3,3,4,4,5,4,6,6,5,5,3,3,4,4,5,5,6,6,6,5,5,5,4,3,4,4,5,6,7,4,4,4,4,4,4,4,4,4,5,6,6,6,6,5,6,5,6,5,6,6,6,2,3,4,5,2,3,4,5,6,5,6,8,3,3,5,7,8,7,8,4,5,5,7,6,8,7,9,6,8,8,4,5,6,8,8,5,6,7,7,9,8,6,9,6,8,6,6,6,6,6,6,8,9,4
"T3-C-2",2,2,3,3,4,4,5,5,2,5,2,5,1,2,2,3,3,4,4,5,1,0,1,2,1,2,3,2,3,4,3,4,3,4,4,5,6,7,3,4,5,6,3,4,5,6,4,5,6,7,5,7,6,6,5,7,6,8,3,5,6,6,7,1,1,2,2,3,3,4,4,5,5,5,2,3,4,4,3,3,4,5,1,3,2,5,3,3,3,3,5,5,5,6,6,6,3,3,5,5,6,6,1,3,2,4,3,5,6,7,5,6,6,3,3,3,4,6,6,5,2,4,2,4,6,4,2,2,1,1,3,3,2,3,3,1,1,1,3,3,3,3,4,4,6,6,5,4,6,4,5,7,1,1,1,1,1,1,5,5,5,6,4,3,4,5,4,5,6,5,6,7,6,7,5,6,4,4,5,5,6,5,7,7,6,6,3,3,4,4,5,5,6,6,7,6,6,5,4,4,3,5,4,5,6,4,4,4,4,4,4,4,4,4,5,6,6,6,6,5,6,5,6,5,6,6,6,2,3,4,5,2,3,4,5,6,5,6,8,3,3,6,8,9,8,9,4,5,5,7,6,8,7,9,6,8,8,4,5,6,8,8,5,6,7,8,10,9,6,9,6,8,6,6,6,6,6,6,8,9,4
"T3-C-3",2,2,3,3,4,4,5,5,2,5,2,5,1,1,3,2,4,3,5,4,2,1,0,3,2,1,4,3,2,5,4,3,4,5,5,6,7,8,4,5,6,7,3,4,5,6,3,4,5,6,6,8,7,6,5,7,6,8,3,5,6,6,7,1,1,2,2,3,3,4,4,5,5,5,2,3,4,5,4,2,4,5,1,3,2,5,3,3,3,3,5,5,5,6,6,6,3,3,5,5,6,6,1,3,2,4,4,6,7,8,6,7,7,3,3,3,4,6,6,5,2,4,2,4,6,4,2,2,1,1,3,3,2,3,3,1,1,1,3,3,3,3,4,4,6,6,5,4,6,4,5,7,1,1,1,1,1,1,5,5,5,6,5,4,3,6,5,4,7,6,5,8,7,6,6,7,5,5,6,6,7,6,8,8,7,7,4,4,5,5,6,6,7,7,8,7,7,5,4,5,3,6,4,5,6,4,4,4,4,4,4,4,4,4,5,6,6,6,6,5,6,5,6,5,6,6,6,2,3,4,5,2,3,4,5,6,5,6,8,3,3,7,9,10,9,10,4,5,5,7,6,8,7,9,6,8,8,4,5,6,8,8,5,6,7,9,11,10,6,9,6,8,6,6,6,6,6,6,8,9,4
"T3-C-4",4,4,3,3,3,3,4,4,3,3,3,3,3,4,2,3,3,4,4,5,1,2,3,0,1,2,1,2,3,2,3,4,1,2,4,3,4,5,4,3,4,5,5,4,5,6,6,5,6,7,3,5,5,6,4,6,5,7,4,4,5,6,6,2,2,1,2,3,2,3,3,4,4,4,1,2,3,4,3,5,3,4,1,3,2,5,3,4,4,4,4,4,4,5,5,5,4,4,4,4,5,5,1,2,1,2,4,2,3,4,2,4,4,3,3,3,4,4,4,3,2,3,1,2,6,4,2,2,1,1,2,2,2,3,3,1,1,1,3,3,3,3,4,4,5,5,3,4,5,5,4,6,1,1,1,1,1,1,6,6,6,7,4,5,6,3,4,5,4,5,6,5,6,7,3,4,4,4,3,3,4,3,5,5,4,4,4,4,3,3,4,4,5,5,5,4,4,5,4,4,5,3,4,5,6,4,4,4,4,4,4,4,4,4,5,6,6,6,6,5,6,5,6,5,6,6,6,4,3,3,4,4,3,3,4,5,6,5,6,3,3,5,5,7,5,7,4,5,4,5,5,6,6,7,5,6,6,3,4,5,6,6,5,5,6,7,8,7,7,7,7,7,7,6,6,6,6,7,7,8,4
"T3-C-5",4,4,3,3,3,3,4,4,3,3,3,3,2,3,1,2,2,3,3,4,2,1,2,1,0,1,2,1,2,3,2,3,2,3,5,4,5,6,4,3,4,5,4,3,4,5,5,4,5,6,4,6,5,5,4,6,5,7,4,4,5,6,6,2,2,1,2,3,2,3,3,4,4,4,1,2,3,5,4,4,3,4,1,3,2,5,3,4,4,4,4,4,4,5,5,5,4,4,4,4,5,5,1,2,1,2,5,3,4,5,3,5,5,3,3,3,4,4,4,3,2,3,1,2,6,4,2,2,1,1,2,2,2,3,3,1,1,1,3,3,3,3,4,4,5,5,3,4,5,5,4,6,1,1,1,1,1,1,6,6,6,7,5,4,5,4,3,4,5,4,5,6,5,6,4,5,5,5,4,4,5,4,6,6,5,5,3,3,2,2,3,3,4,4,6,5,5,5,4,5,4,4,3,4,5,4,4,4,4,4,4,4,4,4,5,6,6,6,6,5,6,5,6,5,6,6,6,4,3,3,4,4,3,3,4,5,6,5,6,3,3,6,6,8,6,8,4,5,4,5,5,6,6,7,5,6,6,3,4,5,6,6,5,5,6,8,9,8,7,7,7,7,7,6,6,6,6,7,7,8,4
"T3-C-6",4,4,3,3,3,3,4,4,3,3,3,3,3,2,1,1,2,2,3,3,3,2,1,2,1,0,3,2,1,4,3,2,3,4,6,5,6,7,5,4,5,6,4,3,4,5,4,3,4,5,5,7,6,5,4,6,5,7,4,4,5,6,6,2,2,1,2,3,2,3,3,4,4,4,1,2,3,6,5,3,3,4,1,3,2,5,3,4,4,4,4,4,4,5,5,5,4,4,4,4,5,5,1,2,1,2,6,4,5,6,4,6,6,3,3,3,4,4,4,3,2,3,1,2,6,4,2,2,1,1,2,2,2,3,3,1,1,1,3,3,3,3,4,4,5,5,3,4,5,5,4,6,1,1,1,1,1,1,6,6,6,7,6,5,4,5,4,3,6,5,4,7,6,5,5,6,6,6,5,5,6,5,7,7,6,6,4,4,3,3,4,4,5,5,7,6,6,5,4,6,4,5,3,4,5,4,4,4,4,4,4,4,4,4,5,6,6,6,6,5,6,5,6,5,6,6,6,4,3,3,4,4,3,3,4,5,6,5,6,3,3,7,7,9,7,9,4,5,4,5,5,6,6,7,5,6,6,3,4,5,6,6,5,5,6,9,10,9,7,7,7,7,7,6,6,6,6,7,7,8,4
"T3-C-7",5,5,4,4,3,3,3,3,4,2,4,2,4,5,3,4,2,3,3,4,2,3,4,1,2,3,0,1,2,1,2,3,2,1,5,4,3,4,5,4,3,4,6,5,4,5,7,6,5,6,4,4,4,5,5,5,6,6,5,4,4,7,5,3,3,2,3,4,1,2,2,3,3,4,2,1,2,5,4,6,4,3,1,3,2,5,3,5,5,5,4,4,4,4,4,4,5,5,4,4,4,4,2,1,2,1,5,3,2,3,3,3,4,3,3,3,5,3,3,4,3,2,2,1,6,4,2,2,2,2,1,1,2,3,3,1,1,1,3,3,3,3,5,5,4,4,4,5,4,6,4,5,1,1,1,1,1,1,7,7,7,8,5,6,7,4,5,6,3,4,5,4,5,6,4,3,5,5,4,4,3,4,4,4,3,3,5,5,4,4,3,3,4,4,4,3,3,5,4,5,6,4,5,4,5,4,4,4,4,4,4,4,4,4,5,6,6,6,6,5,6,5,6,5,6,6,6,5,4,3,3,5,4,3,3,4,7,5,5,3,3,6,5,6,5,6,4,5,5,4,6,5,7,6,6,5,6,4,3,6,5,5,6,5,5,8,7,7,8,6,8,6,8,6,6,6,6,8,6,7,4
"T3-C-8",5,5,4,4,3,3,3,3,4,2,4,2,3,4,2,3,1,2,2,3,3,2,3,2,1,2,1,0,1,2,1,2,3,2,6,5,4,5,5,4,3,4,5,4,3,4,6,5,4,5,5,5,4,4,5,5,6,6,5,4,4,7,5,3,3,2,3,4,1,2,2,3,3,4,2,1,2,6,5,5,4,3,1,3,2,5,3,5,5,5,4,4,4,4,4,4,5,5,4,4,4,4,2,1,2,1,6,4,3,4,4,4,5,3,3,3,5,3,3,4,3,2,2,1,6,4,2,2,2,2,1,1,2,3,3,1,1,1,3,3,3,3,5,5,4,4,4,5,4,6,4,5,1,1,1,1,1,1,7,7,7,8,6,5,6,5,4,5,4,3,4,5,4,5,5,4,6,6,5,5,4,5,5,5,4,4,4,4,3,3,2,2,3,3,5,4,4,5,4,6,5,5,4,3,4,4,4,4,4,4,4,4,4,4,5,6,6,6,6,5,6,5,6,5,6,6,6,5,4,3,3,5,4,3,3,4,7,5,5,3,3,7,6,7,6,7,4,5,5,4,6,5,7,6,6,5,6,4,3,6,5,5,6,5,5,9,8,8,8,6,8,6,8,6,6,6,6,8,6,7,4
"T3-C-9",5,5,4,4,3,3,3,3,4,2,4,2,4,3,2,2,1,1,2,2,4,3,2,3,2,1,2,1,0,3,2,1,4,3,7,6,5,6,6,5,4,5,5,4,3,4,5,4,3,4,6,6,5,4,5,5,6,6,5,4,4,7,5,3,3,2,3,4,1,2,2,3,3,4,2,1,2,7,6,4,4,3,1,3,2,5,3,5,5,5,4,4,4,4,4,4,5,5,4,4,4,4,2,1,2,1,7,5,4,5,5,5,6,3,3,3,5,3,3,4,3,2,2,1,6,4,2,2,2,2,1,1,2,3,3,1,1,1,3,3,3,3,5,5,4,4,4,5,4,6,4,5,1,1,1,1,1,1,7,7,7,8,7,6,5,6,5,4,5,4,3,6,5,4,6,5,7,7,6,6,5,6,6,6,5,5,5,5,4,4,3,3,4,4,6,5,5,5,4,7,5,6,4,3,4,4,4,4,4,4,4,4,4,4,5,6,6,6,6,5,6,5,6,5,6,6,6,5,4,3,3,5,4,3,3,4,7,5,5,3,3,8,7,8,7,8,4,5,5,4,6,5,7,6,6,5,6,4,3,6,5,5,6,5,5,10,9,9,8,6,8,6,8,6,6,6,6,8,6,7,4
"T3-C-10",6,6,5,5,4,4,2,2,5,3,5,3,5,6,4,5,3,4,2,3,3,4,5,2,3,4,1,2,3,0,1,2,3,1,6,5,4,3,6,5,4,3,7,6,5,4,8,7,6,5,5,4,4,5,6,4,7,5,6,5,3,8,5,4,4,3,4,5,2,3,1,2,3,5,3,2,1,6,5,7,5,3,1,3,2,5,3,6,6,6,5,5,5,3,3,3,6,6,5,5,3,3,3,1,3,2,6,4,3,2,4,3,5,3,3,3,6,4,4,5,4,2,3,2,6,4,2,2,3,3,1,1,2,3,3,1,1,1,3,3,3,3,6,6,4,4,5,6,4,7,5,4,1,1,1,1,1,1,8,8,8,9,6,7,8,5,6,7,4,5,6,3,4,5,5,3,6,6,5,5,4,5,3,3,3,3,6,6,5,5,4,4,3,3,4,4,4,5,4,6,7,5,6,5,4,4,4,4,4,4,4,4,4,4,5,6,6,6,6,5,6,5,6,5,6,6,6,6,5,4,2,6,5,4,2,4,8,6,5,3,3,7,6,5,6,5,4,5,6,4,7,5,8,6,7,5,7,5,3,7,6,6,7,6,4,9,7,8,9,7,9,7,9,6,6,6,6,9,7,6,4
"T3-C-11",6,6,5,5,4,4,2,2,5,3,5,3,4,5,3,4,2,3,1,2,4,3,4,3,2,3,2,1,2,1,0,1,4,2,7,6,5,4,6,5,4,3,6,5,4,3,7,6,5,4,6,5,4,4,6,4,7,5,6,5,3,8,5,4,4,3,4,5,2,3,1,2,3,5,3,2,1,7,6,6,5,3,1,3,2,5,3,6,6,6,5,5,5,3,3,3,6,6,5,5,3,3,3,1,3,2,7,5,4,3,5,4,6,3,3,3,6,4,4,5,4,2,3,2,6,4,2,2,3,3,1,1,2,3,3,1,1,1,3,3,3,3,6,6,4,4,5,6,4,7,5,4,1,1,1,1,1,1,8,8,8,9,7,6,7,6,5,6,5,4,5,4,3,4,6,4,7,7,6,6,5,6,4,4,4,4,5,5,4,4,3,3,2,2,5,5,5,5,4,7,6,6,5,4,3,4,4,4,4,4,4,4,4,4,5,6,6,6,6,5,6,5,6,5,6,6,6,6,5,4,2,6,5,4,2,4,8,6,5,3,3,8,7,6,7,6,4,5,6,4,7,5,8,6,7,5,7,5,3,7,6,6,7,6,4,10,8,9,9,7,9,7,9,6,6,6,6,9,7,6,4
